Image Filename,BLEU Score
6001.jpg,0.6389
6002.jpg,0.3679
6003.jpg,0.8801
6004.jpg,0.8409
6005.jpg,0.8801
6006.jpg,1.0000
6007.jpg,1.0000
6008.jpg,0.6338
6009.jpg,0.8694
6010.jpg,0.8091
6011.jpg,0.8694
6012.jpg,0.6687
6013.jpg,0.7311
6014.jpg,0.6148
6015.jpg,0.7311
6016.jpg,0.7071
6017.jpg,0.7953
6018.jpg,1.0000
6019.jpg,1.0000
6020.jpg,0.5555
6021.jpg,0.9306
6022.jpg,0.7311
6023.jpg,0.7953
6024.jpg,0.8409
6025.jpg,0.7598
6026.jpg,0.7598
6027.jpg,0.7953
6028.jpg,0.8801
6029.jpg,0.7071
6030.jpg,0.6148
6031.jpg,1.0000
6032.jpg,0.7598
6033.jpg,1.0000
6034.jpg,0.6687
6035.jpg,0.8801
6036.jpg,0.7071
6037.jpg,0.8694
6038.jpg,0.8091
6039.jpg,1.0000
6040.jpg,0.7311
6041.jpg,0.7788
6042.jpg,1.0000
6043.jpg,1.0000
6044.jpg,0.6687
6045.jpg,0.6065
6046.jpg,0.7071
6047.jpg,0.7071
6048.jpg,0.8091
6049.jpg,1.0000
6050.jpg,0.8409
6051.jpg,1.0000
6052.jpg,0.6389
6053.jpg,0.6065
6054.jpg,0.8091
6055.jpg,1.0000
6056.jpg,1.0000
6057.jpg,1.0000
6058.jpg,0.5100
6059.jpg,1.0000
6060.jpg,0.8091
6061.jpg,0.8801
6062.jpg,0.6389
6063.jpg,0.8694
6064.jpg,1.0000
6065.jpg,1.0000
6066.jpg,0.6687
6067.jpg,0.6389
6068.jpg,1.0000
6069.jpg,1.0000
6070.jpg,0.7953
6071.jpg,0.6475
6072.jpg,1.0000
6073.jpg,0.6065
6074.jpg,0.8409
6075.jpg,1.0000
6076.jpg,1.0000
6077.jpg,1.0000
6078.jpg,1.0000
6079.jpg,0.8409
6080.jpg,0.5100
6081.jpg,1.0000
6082.jpg,0.6065
6083.jpg,0.7953
6084.jpg,0.8409
6085.jpg,0.7071
6086.jpg,0.6687
6087.jpg,1.0000
6088.jpg,1.0000
6089.jpg,0.5475
6090.jpg,0.6687
6091.jpg,1.0000
6092.jpg,0.7598
6093.jpg,1.0000
6094.jpg,1.0000
6095.jpg,0.7311
6096.jpg,1.0000
6097.jpg,0.6148
6098.jpg,0.6148
6099.jpg,0.7071
6100.jpg,0.5170
6101.jpg,1.0000
6102.jpg,0.7071
6103.jpg,1.0000
6104.jpg,1.0000
6105.jpg,1.0000
6106.jpg,0.6148
6107.jpg,0.7953
6108.jpg,0.7953
6109.jpg,0.7071
6110.jpg,0.7311
6111.jpg,0.8091
6112.jpg,0.6389
6113.jpg,0.7953
6114.jpg,1.0000
6115.jpg,0.7953
6116.jpg,1.0000
6117.jpg,0.8801
6118.jpg,0.7071
6119.jpg,0.9193
6120.jpg,0.8409
6121.jpg,0.6148
6122.jpg,0.6148
6123.jpg,0.7953
6124.jpg,1.0000
6125.jpg,0.7071
6126.jpg,0.6606
6127.jpg,0.6389
6128.jpg,0.7071
6129.jpg,1.0000
6130.jpg,1.0000
6131.jpg,0.6687
6132.jpg,0.7071
6133.jpg,0.7953
6134.jpg,0.9622
6135.jpg,1.0000
6136.jpg,0.6475
6137.jpg,1.0000
6138.jpg,0.8409
6139.jpg,0.7953
6140.jpg,0.8409
6141.jpg,0.5329
6142.jpg,0.7598
6143.jpg,1.0000
6144.jpg,1.0000
6145.jpg,1.0000
6146.jpg,0.8801
6147.jpg,0.5507
6148.jpg,0.6148
6149.jpg,0.4639
6150.jpg,0.6511
6151.jpg,0.6687
6152.jpg,0.8801
6153.jpg,0.7071
6154.jpg,0.6687
6155.jpg,0.6148
6156.jpg,0.7953
6157.jpg,0.7311
6158.jpg,1.0000
6159.jpg,1.0000
6160.jpg,0.8409
6161.jpg,0.5507
6162.jpg,0.5100
6163.jpg,1.0000
6164.jpg,0.8801
6165.jpg,0.8091
6166.jpg,0.8409
6167.jpg,0.6511
6168.jpg,0.7598
6169.jpg,0.5475
6170.jpg,0.7071
6171.jpg,0.5329
6172.jpg,0.6148
6173.jpg,0.6148
6174.jpg,0.6687
6175.jpg,0.6148
6176.jpg,0.5475
6177.jpg,0.3093
6178.jpg,0.6338
6179.jpg,0.8801
6180.jpg,0.7598
6181.jpg,0.7071
6182.jpg,0.3679
6183.jpg,0.5475
6184.jpg,0.7953
6185.jpg,0.7311
6186.jpg,0.5475
6187.jpg,1.0000
6188.jpg,0.8801
6189.jpg,0.6148
6190.jpg,1.0000
6191.jpg,0.6148
6192.jpg,0.8409
6193.jpg,0.6065
6194.jpg,0.9457
6195.jpg,0.7598
6196.jpg,0.8341
6197.jpg,0.4724
6198.jpg,0.9457
6199.jpg,0.7788
6200.jpg,0.6687
6201.jpg,0.7953
6202.jpg,0.8091
6203.jpg,0.1353
6204.jpg,0.8694
6205.jpg,0.8091
6206.jpg,0.8409
6207.jpg,0.8669
6208.jpg,0.3875
6209.jpg,1.0000
6210.jpg,0.7537
6211.jpg,0.7311
6212.jpg,0.8694
6213.jpg,1.0000
6214.jpg,1.0000
6215.jpg,0.7071
6216.jpg,0.9457
6217.jpg,1.0000
6218.jpg,0.5170
6219.jpg,0.7071
6220.jpg,0.4671
6221.jpg,0.7014
6222.jpg,0.7743
6223.jpg,0.8409
6224.jpg,0.6687
6225.jpg,0.6475
6226.jpg,0.8669
6227.jpg,0.6389
6228.jpg,0.7311
6229.jpg,1.0000
6230.jpg,1.0000
6231.jpg,0.7311
6232.jpg,0.7071
6233.jpg,0.9036
6234.jpg,0.5444
6235.jpg,0.6432
6236.jpg,0.8801
6237.jpg,0.6549
6238.jpg,0.7598
6239.jpg,0.6389
6240.jpg,0.8409
6241.jpg,0.5092
6242.jpg,0.4620
6243.jpg,0.7311
6244.jpg,0.8801
6245.jpg,0.7953
6246.jpg,0.6148
6247.jpg,0.7598
6248.jpg,0.7071
6249.jpg,0.6148
6250.jpg,0.6148
6251.jpg,0.7206
6252.jpg,1.0000
6253.jpg,1.0000
6254.jpg,0.9306
6255.jpg,0.9193
6256.jpg,0.7598
6257.jpg,0.5475
6258.jpg,0.8409
6259.jpg,0.7598
6260.jpg,1.0000
6261.jpg,0.7743
6262.jpg,0.6065
6263.jpg,0.1353
6264.jpg,0.8409
6265.jpg,0.6338
6266.jpg,1.0000
6267.jpg,0.5475
6268.jpg,0.6065
6269.jpg,0.6148
6270.jpg,0.7311
6271.jpg,0.7071
6272.jpg,0.9036
6273.jpg,0.8694
6274.jpg,1.0000
6275.jpg,0.6687
6276.jpg,0.8409
6277.jpg,0.7071
6278.jpg,0.5170
6279.jpg,0.6148
6280.jpg,0.6389
6281.jpg,0.7953
6282.jpg,0.6687
6283.jpg,0.7598
6284.jpg,0.8409
6285.jpg,1.0000
6286.jpg,0.6687
6287.jpg,1.0000
6288.jpg,0.9193
6289.jpg,0.5475
6290.jpg,1.0000
6291.jpg,0.6687
6292.jpg,0.1353
6293.jpg,0.6687
6294.jpg,0.8801
6295.jpg,1.0000
6296.jpg,0.7598
6297.jpg,0.8409
6298.jpg,0.6475
6299.jpg,0.7953
6300.jpg,0.7071
6301.jpg,0.8091
6302.jpg,0.6148
6303.jpg,0.6148
6304.jpg,0.7953
6305.jpg,0.9036
6306.jpg,0.6687
6307.jpg,0.7071
6308.jpg,0.5444
6309.jpg,0.9036
6310.jpg,0.8091
6311.jpg,0.6080
6312.jpg,0.7118
6313.jpg,0.8801
6314.jpg,0.6148
6315.jpg,0.8801
6316.jpg,0.6043
6317.jpg,0.6687
6318.jpg,0.6687
6319.jpg,0.4671
6320.jpg,1.0000
6321.jpg,0.7598
6322.jpg,0.7953
6323.jpg,0.6687
6324.jpg,0.8801
6325.jpg,0.6148
6326.jpg,0.6148
6327.jpg,0.6687
6328.jpg,0.5331
6329.jpg,0.8801
6330.jpg,0.6687
6331.jpg,0.6687
6332.jpg,0.9306
6333.jpg,0.6687
6334.jpg,0.8801
6335.jpg,0.7071
6336.jpg,0.7071
6337.jpg,0.9036
6338.jpg,0.6475
6339.jpg,0.7953
6340.jpg,0.6148
6341.jpg,1.0000
6342.jpg,0.6148
6343.jpg,0.6687
6344.jpg,0.8409
6345.jpg,0.7311
6346.jpg,0.6475
6347.jpg,0.6065
6348.jpg,0.8091
6349.jpg,0.8187
6350.jpg,0.7071
6351.jpg,0.9306
6352.jpg,0.7248
6353.jpg,0.7311
6354.jpg,0.5494
6355.jpg,0.8801
6356.jpg,0.8409
6357.jpg,1.0000
6358.jpg,0.6389
6359.jpg,0.6475
6360.jpg,0.7598
6361.jpg,1.0000
6362.jpg,0.6223
6363.jpg,0.8409
6364.jpg,0.6687
6365.jpg,0.8801
6366.jpg,0.6687
6367.jpg,0.7311
6368.jpg,0.5475
6369.jpg,0.8801
6370.jpg,1.0000
6371.jpg,0.7311
6372.jpg,0.7311
6373.jpg,0.8091
6374.jpg,0.9193
6375.jpg,0.8409
6376.jpg,1.0000
6377.jpg,1.0000
6378.jpg,0.6687
6379.jpg,0.6080
6380.jpg,0.5409
6381.jpg,1.0000
6382.jpg,0.8801
6383.jpg,0.7598
6384.jpg,0.7071
6385.jpg,1.0000
6386.jpg,0.8801
6387.jpg,1.0000
6388.jpg,1.0000
6389.jpg,0.8409
6390.jpg,0.7071
6391.jpg,0.7598
6392.jpg,0.8091
6393.jpg,0.8409
6394.jpg,0.7071
6395.jpg,0.8409
6396.jpg,1.0000
6397.jpg,0.7311
6398.jpg,0.8801
6399.jpg,0.6148
6400.jpg,0.6389
6401.jpg,0.5475
6402.jpg,0.8091
6403.jpg,0.6148
6404.jpg,1.0000
6405.jpg,0.8091
6406.jpg,0.7953
6407.jpg,0.7071
6408.jpg,0.7598
6409.jpg,0.6687
6410.jpg,0.8409
6411.jpg,0.8091
6412.jpg,1.0000
6413.jpg,0.5475
6414.jpg,0.7598
6415.jpg,0.6148
6416.jpg,0.7598
6417.jpg,0.5170
6418.jpg,1.0000
6419.jpg,0.7014
6420.jpg,0.7953
6421.jpg,0.6687
6422.jpg,1.0000
6423.jpg,0.3340
6424.jpg,0.6687
6425.jpg,0.8801
6426.jpg,0.6148
6427.jpg,0.7598
6428.jpg,0.0183
6429.jpg,1.0000
6430.jpg,0.6148
6431.jpg,0.6148
6432.jpg,0.6148
6433.jpg,0.8091
6434.jpg,1.0000
6435.jpg,0.6687
6436.jpg,0.7311
6437.jpg,0.6549
6438.jpg,0.7953
6439.jpg,0.7598
6440.jpg,0.5623
6441.jpg,0.6475
6442.jpg,0.7311
6443.jpg,0.0498
6444.jpg,0.8669
6445.jpg,0.6338
6446.jpg,0.3679
6447.jpg,1.0000
6448.jpg,0.6389
6449.jpg,0.8694
6450.jpg,0.8409
6451.jpg,0.8409
6452.jpg,0.6389
6453.jpg,1.0000
6454.jpg,0.6687
6455.jpg,0.7953
6456.jpg,0.7071
6457.jpg,0.7953
6458.jpg,0.8801
6459.jpg,0.8409
6460.jpg,0.8409
6461.jpg,0.8801
6462.jpg,1.0000
6463.jpg,0.6148
6464.jpg,0.7311
6465.jpg,0.6687
6466.jpg,0.7071
6467.jpg,1.0000
6468.jpg,1.0000
6469.jpg,0.8801
6470.jpg,0.8669
6471.jpg,0.6148
6472.jpg,0.8801
6473.jpg,0.6043
6474.jpg,0.9036
6475.jpg,1.0000
6476.jpg,0.9306
6477.jpg,1.0000
6478.jpg,0.7953
6479.jpg,0.7953
6480.jpg,0.8409
6481.jpg,0.6687
6482.jpg,0.7311
6483.jpg,0.0498
6484.jpg,0.8091
6485.jpg,0.6389
6486.jpg,0.6148
6487.jpg,0.7311
6488.jpg,0.8091
6489.jpg,0.8801
6490.jpg,0.8091
6491.jpg,0.8801
6492.jpg,0.6389
6493.jpg,0.6148
6494.jpg,0.6475
6495.jpg,1.0000
6496.jpg,0.6148
6497.jpg,0.8091
6498.jpg,0.8801
6499.jpg,0.7953
6500.jpg,0.8409
6501.jpg,1.0000
6502.jpg,1.0000
6503.jpg,1.0000
6504.jpg,0.7071
6505.jpg,1.0000
6506.jpg,0.6148
6507.jpg,0.7598
6508.jpg,0.6687
6509.jpg,0.8669
6510.jpg,0.6148
6511.jpg,0.7311
6512.jpg,1.0000
6513.jpg,1.0000
6514.jpg,0.6687
6515.jpg,1.0000
6516.jpg,0.6148
6517.jpg,0.7311
6518.jpg,0.8409
6519.jpg,0.5329
6520.jpg,0.6065
6521.jpg,0.7071
6522.jpg,0.7071
6523.jpg,0.8801
6524.jpg,1.0000
6525.jpg,0.9036
6526.jpg,0.5170
6527.jpg,0.7311
6528.jpg,0.6148
6529.jpg,0.9193
6530.jpg,0.7598
6531.jpg,0.6043
6532.jpg,1.0000
6533.jpg,0.0498
6534.jpg,0.7311
6535.jpg,0.7598
6536.jpg,0.8091
6537.jpg,0.8409
6538.jpg,1.0000
6539.jpg,0.8801
6540.jpg,0.7311
6541.jpg,0.5100
6542.jpg,0.7311
6543.jpg,0.7311
6544.jpg,0.6687
6545.jpg,0.8694
6546.jpg,0.5100
6547.jpg,0.7071
6548.jpg,0.7953
6549.jpg,1.0000
6550.jpg,0.9306
6551.jpg,0.8801
6552.jpg,0.8091
6553.jpg,1.0000
6554.jpg,0.6389
6555.jpg,0.6687
6556.jpg,0.7071
6557.jpg,0.6148
6558.jpg,0.7165
6559.jpg,0.8801
6560.jpg,0.2231
6561.jpg,0.7311
6562.jpg,0.8409
6563.jpg,0.7311
6564.jpg,0.8694
6565.jpg,0.6148
6566.jpg,0.6148
6567.jpg,0.8091
6568.jpg,0.6148
6569.jpg,1.0000
6570.jpg,0.7071
6571.jpg,0.8409
6572.jpg,0.6687
6573.jpg,0.5475
6574.jpg,0.8801
6575.jpg,0.8409
6576.jpg,0.8091
6577.jpg,0.9457
6578.jpg,0.6687
6579.jpg,1.0000
6580.jpg,0.8091
6581.jpg,0.8187
6582.jpg,0.9306
6583.jpg,0.7071
6584.jpg,0.5475
6585.jpg,0.7311
6586.jpg,0.6687
6587.jpg,1.0000
6588.jpg,1.0000
6589.jpg,0.6148
6590.jpg,0.4639
6591.jpg,0.6687
6592.jpg,1.0000
6593.jpg,0.9306
6594.jpg,0.3093
6595.jpg,0.8694
6596.jpg,0.8801
6597.jpg,0.7071
6598.jpg,0.7071
6599.jpg,0.9193
6600.jpg,0.7311
6601.jpg,0.8409
6602.jpg,0.6687
6603.jpg,1.0000
6604.jpg,0.7788
6605.jpg,0.7788
6606.jpg,0.1353
6607.jpg,0.6065
6608.jpg,0.8409
6609.jpg,0.9554
6610.jpg,0.8409
6611.jpg,1.0000
6612.jpg,1.0000
6613.jpg,0.8801
6614.jpg,0.7598
6615.jpg,0.8409
6616.jpg,0.6065
6617.jpg,1.0000
6618.jpg,0.5100
6619.jpg,0.8409
6620.jpg,0.7598
6621.jpg,0.7953
6622.jpg,0.5170
6623.jpg,0.6687
6624.jpg,0.6687
6625.jpg,0.5170
6626.jpg,0.7071
6627.jpg,0.8409
6628.jpg,0.6148
6629.jpg,0.8409
6630.jpg,0.7071
6631.jpg,0.6687
6632.jpg,0.6475
6633.jpg,1.0000
6634.jpg,0.6025
6635.jpg,1.0000
6636.jpg,0.6148
6637.jpg,0.9306
6638.jpg,0.8694
6639.jpg,0.7953
6640.jpg,0.6687
6641.jpg,0.6687
6642.jpg,0.8409
6643.jpg,0.9306
6644.jpg,0.6043
6645.jpg,0.8694
6646.jpg,0.7311
6647.jpg,0.7071
6648.jpg,0.4289
6649.jpg,0.9306
6650.jpg,0.5507
6651.jpg,0.7311
6652.jpg,0.6148
6653.jpg,0.6549
6654.jpg,0.8801
6655.jpg,0.7537
6656.jpg,0.8801
6657.jpg,0.5507
6658.jpg,0.8694
6659.jpg,0.8801
6660.jpg,0.9193
6661.jpg,0.6148
6662.jpg,0.7071
6663.jpg,0.9036
6664.jpg,0.6148
6665.jpg,0.5100
6666.jpg,0.8409
6667.jpg,0.7598
6668.jpg,0.8801
6669.jpg,0.5170
6670.jpg,0.8801
6671.jpg,1.0000
6672.jpg,0.7248
6673.jpg,0.6549
6674.jpg,0.5100
6675.jpg,0.7311
6676.jpg,0.2231
6677.jpg,0.8409
6678.jpg,1.0000
6679.jpg,0.6148
6680.jpg,0.6148
6681.jpg,0.7014
6682.jpg,0.9036
6683.jpg,0.7953
6684.jpg,0.6148
6685.jpg,0.7953
6686.jpg,0.3679
6687.jpg,0.7071
6688.jpg,0.5170
6689.jpg,0.8409
6690.jpg,0.7311
6691.jpg,0.7311
6692.jpg,1.0000
6693.jpg,0.5100
6694.jpg,0.3424
6695.jpg,0.7311
6696.jpg,0.7953
6697.jpg,0.6148
6698.jpg,0.7071
6699.jpg,1.0000
6700.jpg,0.7311
6701.jpg,0.7311
6702.jpg,0.7311
6703.jpg,0.8409
6704.jpg,0.6148
6705.jpg,0.8091
6706.jpg,0.6687
6707.jpg,0.8409
6708.jpg,0.7311
6709.jpg,0.7598
6710.jpg,1.0000
6711.jpg,0.7788
6712.jpg,0.6148
6713.jpg,0.7953
6714.jpg,0.6148
6715.jpg,0.9306
6716.jpg,0.6148
6717.jpg,1.0000
6718.jpg,0.6687
6719.jpg,0.6148
6720.jpg,1.0000
6721.jpg,1.0000
6722.jpg,0.6065
6723.jpg,0.8409
6724.jpg,0.8801
6725.jpg,0.7537
6726.jpg,0.0183
6727.jpg,0.8694
6728.jpg,1.0000
6729.jpg,0.6687
6730.jpg,0.3901
6731.jpg,0.8409
6732.jpg,0.7071
6733.jpg,0.6687
6734.jpg,0.7537
6735.jpg,0.8409
6736.jpg,0.7071
6737.jpg,1.0000
6738.jpg,0.7118
6739.jpg,0.6687
6740.jpg,0.6687
6741.jpg,0.6475
6742.jpg,0.5507
6743.jpg,0.9306
6744.jpg,0.6148
6745.jpg,1.0000
6746.jpg,0.7071
6747.jpg,0.8409
6748.jpg,1.0000
6749.jpg,0.7953
6750.jpg,1.0000
6751.jpg,0.8409
6752.jpg,0.7311
6753.jpg,0.6549
6754.jpg,0.6065
6755.jpg,1.0000
6756.jpg,1.0000
6757.jpg,0.6687
6758.jpg,0.8409
6759.jpg,0.8801
6760.jpg,0.8801
6761.jpg,0.6043
